Profile URL,Badge Title,Date Earned,Points
https://www.cloudskillsboost.google/public_profiles/f8509c0b-d89e-4313-90f4-debe5a02e004,Get Started with Cloud Storage,"Oct  6, 2025 EDT",0.5
https://www.cloudskillsboost.google/public_profiles/f8509c0b-d89e-4313-90f4-debe5a02e004,The Basics of Google Cloud Compute,"Oct  6, 2025 EDT",0.5
https://www.cloudskillsboost.google/public_profiles/f8509c0b-d89e-4313-90f4-debe5a02e004,Level 3: Generative AI,"Oct  5, 2025 EDT",1
https://www.cloudskillsboost.google/public_profiles/f8509c0b-d89e-4313-90f4-debe5a02e004,Skills Boost Arcade Trivia October 2025 Week 1,"Oct  3, 2025 EDT",1
